"id","created_at","updated_at","form","hin","hin_1","hin_2","hin_3","katsu_kei","katsu_kata","genkei","yomi","hatsu","history_id","category_id","genre_id","user_id"
"1","04/05/2015 09:22:02","04/05/2015 09:22:02","　","記号","空白","*","*","*","*","　","　","　","1545","15","2",NULL
"2","04/05/2015 09:22:02","04/05/2015 09:22:02","トヨタ自動車","名詞","固有名詞","組織","*","*","*","トヨタ自動車","トヨタジドウシャ","トヨタジドーシャ","1545","15","2",NULL
"3","04/05/2015 09:22:02","04/05/2015 09:22:02","が","助詞","格助詞","一般","*","*","*","が","ガ","ガ","1545","15","2",NULL
"4","04/05/2015 09:22:02","04/05/2015 09:22:02","「","記号","括弧開","*","*","*","*","「","「","「","1545","15","2",NULL
"5","04/05/2015 09:22:02","04/05/2015 09:22:02","もの","名詞","一般","*","*","*","*","もの","モノ","モノ","1545","15","2",NULL
"6","04/05/2015 09:22:02","04/05/2015 09:22:02","づくり","名詞","接尾","一般","*","*","*","づくり","ヅクリ","ズクリ","1545","15","2",NULL
"7","04/05/2015 09:22:02","04/05/2015 09:22:02","」","記号","括弧閉","*","*","*","*","」","」","」","1545","15","2",NULL
"8","04/05/2015 09:22:02","04/05/2015 09:22:02","の","助詞","連体化","*","*","*","*","の","ノ","ノ","1545","15","2",NULL
"9","04/05/2015 09:22:02","04/05/2015 09:22:02","カギ","名詞","一般","*","*","*","*","カギ","カギ","カギ","1545","15","2",NULL
"10","04/05/2015 09:22:02","04/05/2015 09:22:02","を","助詞","格助詞","一般","*","*","*","を","ヲ","ヲ","1545","15","2",NULL
"11","04/05/2015 09:22:02","04/05/2015 09:22:02","握る","動詞","自立","*","*","五段・ラ行","基本形","握る","ニギル","ニギル","1545","15","2",NULL
"12","04/05/2015 09:22:02","04/05/2015 09:22:02","職人","名詞","一般","*","*","*","*","職人","ショクニン","ショクニン","1545","15","2",NULL
"13","04/05/2015 09:22:02","04/05/2015 09:22:02","技","名詞","接尾","一般","*","*","*","技","ワザ","ワザ","1545","15","2",NULL
"14","04/05/2015 09:22:02","04/05/2015 09:22:02","の","助詞","連体化","*","*","*","*","の","ノ","ノ","1545","15","2",NULL
"15","04/05/2015 09:22:02","04/05/2015 09:22:02","伝承","名詞","サ変接続","*","*","*","*","伝承","デンショウ","デンショー","1545","15","2",NULL
"16","04/05/2015 09:22:02","04/05/2015 09:22:02","に","助詞","格助詞","一般","*","*","*","に","ニ","ニ","1545","15","2",NULL
"17","04/05/2015 09:22:02","04/05/2015 09:22:02","力","名詞","一般","*","*","*","*","力","チカラ","チカラ","1545","15","2",NULL
"18","04/05/2015 09:22:02","04/05/2015 09:22:02","を","助詞","格助詞","一般","*","*","*","を","ヲ","ヲ","1545","15","2",NULL
"19","04/05/2015 09:22:02","04/05/2015 09:22:02","入れ","動詞","自立","*","*","一段","連用形","入れる","イレ","イレ","1545","15","2",NULL
"20","04/05/2015 09:22:02","04/05/2015 09:22:02","て","助詞","接続助詞","*","*","*","*","て","テ","テ","1545","15","2",NULL
"21","04/05/2015 09:22:02","04/05/2015 09:22:02","いる","動詞","非自立","*","*","一段","基本形","いる","イル","イル","1545","15","2",NULL
"22","04/05/2015 09:22:02","04/05/2015 09:22:02","。","記号","句点","*","*","*","*","。","。","。","1545","15","2",NULL
"23","04/05/2015 09:22:02","04/05/2015 09:22:02","工場","名詞","一般","*","*","*","*","工場","コウジョウ","コージョー","1545","15","2",NULL
"24","04/05/2015 09:22:02","04/05/2015 09:22:02","で","助詞","格助詞","一般","*","*","*","で","デ","デ","1545","15","2",NULL
"25","04/05/2015 09:22:02","04/05/2015 09:22:02","の","助詞","連体化","*","*","*","*","の","ノ","ノ","1545","15","2",NULL
"26","04/05/2015 09:22:02","04/05/2015 09:22:02","製造","名詞","サ変接続","*","*","*","*","製造","セイゾウ","セイゾー","1545","15","2",NULL
"27","04/05/2015 09:22:02","04/05/2015 09:22:02","作業","名詞","サ変接続","*","*","*","*","作業","サギョウ","サギョー","1545","15","2",NULL
"28","04/05/2015 09:22:02","04/05/2015 09:22:02","に","助詞","格助詞","一般","*","*","*","に","ニ","ニ","1545","15","2",NULL
"29","04/05/2015 09:22:02","04/05/2015 09:22:02","従事","名詞","サ変接続","*","*","*","*","従事","ジュウジ","ジュージ","1545","15","2",NULL
