id,created_at,updated_at,code,name
1,"09/20/2014 15:52:46","09/20/2014 15:52:46",soci,Society
2,"09/20/2014 15:53:02","09/20/2014 15:53:02",bus_all,Economics
3,"09/20/2014 15:53:20","09/20/2014 15:53:20",int,Overseas
4,"09/20/2014 15:53:32","09/20/2014 15:53:32",pol,"Domestic Politics"
5,"10/08/2014 07:25:35","10/08/2014 07:25:35",c_sci,"Science & Tech"
